time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	105.35
10.0	0.00999	0.02035	n/a	n/a
17.0	3.27339	1.21508	n/a	n/a
27.0	30.85134	26.98484	0.04625	n/a
36.0	53.5612	41.2106	n/a	n/a
44.5	63.8657	49.4579	n/a	n/a
53.0	72.742	57.9605	0.09916	n/a
62.0	74.6993	61.5754	n/a	104.11
70.0	78.5584	59.4849	n/a	n/a
78.5	97.3581	79.328	0.15688	n/a
88.0	95.1603	76.7195	n/a	n/a
97.0	93.6766	76.3717	n/a	n/a
105.5	101.5761	85.3627	0.20461	n/a
116.0	109.187	88.4781	n/a	n/a
125.0	112.0286	91.3012	n/a	n/a
134.5	103.1486	84.0418	0.27787	n/a
145.5	82.5803	69.5637	n/a	n/a
154.0	73.7447	62.7039	n/a	n/a
163.0	65.4678	54.908	0.25234	n/a
171.0	61.4459	51.3782	0.24346	n/a
181.5	56.2363	46.9604	0.27269	n/a
191.5	52.4771	43.6896	0.26455	n/a
202.0	48.3997	41.1255	0.2516	n/a
216.5	45.0697	38.1766	0.52244	n/a
228.0	42.3428	35.3979	0.25752	n/a
284.5	33.57121	28.10187	0.28601	109.33
357.5	27.08696	23.06839	0.32486	110.34
473.0	21.2787	18.18143	0.3811	n/a
596.0	17.96609	15.27101	0.40145	109.44
720.0	15.4253	13.51795	0.51467	n/a
899.0	13.44432	11.83519	0.64972	n/a
1200.5	11.66351	9.81351	0.59126	114.76
1505.0	9.92599	8.63432	0.56425	n/a
1800.0	8.71424	7.91911	0.69634	115.16
2098.0	7.59647	7.49065	0.66933	n/a
2400.0	6.72993	7.29529	0.53502	117.66
2998.0	5.71428	7.04665	0.78144	115.12
3611.0	4.72157	7.1373	0.62197	117.81
4206.5	4.08924	7.22758	0.63196	120.12
4796.5	3.67632	7.58278	0.49395	116.89
5405.0	3.11059	7.46475	0.53613	112.53
