time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	129.86
9.0	0.68931	0.20609	n/a	n/a
16.5	38.0249	25.56774	n/a	138.35
24.0	62.4745	50.4717	0.24716	n/a
32.0	73.6596	56.1031	n/a	n/a
41.5	88.171	68.3686	n/a	n/a
49.5	94.7422	76.3606	0.42439	n/a
59.5	103.9848	81.918	n/a	n/a
69.5	116.4908	91.0792	n/a	n/a
78.5	123.8538	100.5623	0.42513	n/a
87.5	127.7536	104.8247	n/a	n/a
98.5	133.4738	110.3118	n/a	n/a
107.5	136.4338	117.9967	0.32449	n/a
119.5	151.33	123.2026	n/a	n/a
127.5	156.843	127.8424	n/a	n/a
135.5	112.3357	92.9292	0.31006	n/a
144.0	100.5586	82.5322	n/a	n/a
154.0	90.2615	76.6085	n/a	n/a
162.5	88.7704	71.6468	0.33781	n/a
171.5	80.9412	65.9895	0.36149	n/a
183.5	73.2859	62.1526	0.39738	n/a
192.0	71.5839	60.1916	0.59977	n/a
200.0	69.5008	57.5942	0.66193	n/a
208.5	66.3669	55.3853	0.56795	n/a
217.5	63.8028	53.3392	0.64306	n/a
275.0	52.0627	43.1753	0.6401	138.24
334.0	42.7461	36.67588	0.55796	n/a
463.5	32.80531	27.41885	0.66785	n/a
583.5	26.26445	22.13266	0.77959	132.22
727.0	20.88687	18.21843	0.92463	n/a
899.5	17.97201	15.20293	0.85951	n/a
1201.5	13.94234	12.40314	0.81437	134.68
1500.0	11.83408	10.37998	0.70374	127.3
1801.5	10.21385	9.26184	0.71521	131.71
2099.0	9.39578	8.70869	0.5883	n/a
2398.5	8.11558	8.362	0.63048	130.84
3004.5	6.57823	8.16812	0.63899	124.99
3602.5	5.26362	8.4434	0.72076	127.59
4197.5	4.60687	8.473	0.82103	127.88
4798.0	4.21467	8.72608	0.50875	128.57
5397.5	3.78214	9.3018	0.8214	128.4
